"","Water_Year","Region","Consumptive_Use_MAF","Date","Type"
"86",1999,"Mexico",3.47111,1999-01-01,"Evap"
"87",1999,"Upper Basin",4.14040197154373,1999-01-01,"Evap"
"88",2000,"Lower Basin",9.470463,2000-01-01,"Evap"
"89",2000,"Mexico",2.512892,2000-01-01,"Evap"
"90",2000,"Upper Basin",5.07536272769445,2000-01-01,"Evap"
"91",2001,"Lower Basin",9.251248,2001-01-01,"Evap"
"92",2001,"Mexico",1.995159,2001-01-01,"Evap"
"93",2001,"Upper Basin",4.77615300331773,2001-01-01,"Evap"
"94",2002,"Lower Basin",9.604851,2002-01-01,"Evap"
"95",2002,"Mexico",1.738629,2002-01-01,"Evap"
"96",2002,"Upper Basin",4.22172060334788,2002-01-01,"Evap"
"97",2003,"Lower Basin",8.35214,2003-01-01,"Evap"
"98",2003,"Mexico",1.701521,2003-01-01,"Evap"
"99",2003,"Upper Basin",4.07853742441954,2003-01-01,"Evap"
"100",2004,"Lower Basin",8.577567,2004-01-01,"Evap"
"101",2004,"Mexico",1.643276,2004-01-01,"Evap"
"102",2004,"Upper Basin",4.14468230467498,2004-01-01,"Evap"
"103",2005,"Lower Basin",7.641654,2005-01-01,"Evap"
"104",2005,"Mexico",1.756361,2005-01-01,"Evap"
"105",2005,"Upper Basin",4.24667038520488,2005-01-01,"Evap"
"106",2006,"Lower Basin",8.331219,2006-01-01,"Evap"
"107",2006,"Mexico",1.654773,2006-01-01,"Evap"
"108",2006,"Upper Basin",4.3452093877263,2006-01-01,"Evap"
"109",2007,"Lower Basin",8.425658,2007-01-01,"Evap"
"110",2007,"Mexico",1.619707,2007-01-01,"Evap"
"111",2007,"Upper Basin",4.25652069020038,2007-01-01,"Evap"
"112",2008,"Lower Basin",8.348695,2008-01-01,"Evap"
"113",2008,"Mexico",1.673419,2008-01-01,"Evap"
"114",2008,"Upper Basin",4.50173933304918,2008-01-01,"Evap"
"115",2009,"Lower Basin",8.142175,2009-01-01,"Evap"
"116",2009,"Mexico",1.706675,2009-01-01,"Evap"
"117",2009,"Upper Basin",4.50452156677445,2009-01-01,"Evap"
"118",2010,"Lower Basin",7.990274,2010-01-01,"Evap"
"119",2010,"Mexico",1.728331,2010-01-01,"Evap"
"120",2010,"Upper Basin",4.46762883805718,2010-01-01,"Evap"
"121",2011,"Lower Basin",8.443166,2011-01-01,"Evap"
"122",2011,"Mexico",1.76172,2011-01-01,"Evap"
"123",2011,"Upper Basin",4.38345058888816,2011-01-01,"Evap"
"124",2012,"Lower Basin",8.414498,2012-01-01,"Evap"
"125",2012,"Mexico",1.557446,2012-01-01,"Evap"
"126",2012,"Upper Basin",4.5477633110784,2012-01-01,"Evap"
"127",2013,"Lower Basin",7.942009,2013-01-01,"Evap"
"128",2013,"Mexico",1.607507,2013-01-01,"Evap"
"129",2013,"Upper Basin",3.79612685829743,2013-01-01,"Evap"
"130",2014,"Lower Basin",8.50238,2014-01-01,"Evap"
"131",2014,"Mexico",1.721705,2014-01-01,"Evap"
"132",2014,"Upper Basin",3.81456230053908,2014-01-01,"Evap"
"133",2015,"Lower Basin",8.189098,2015-01-01,"Evap"
"134",2015,"Mexico",1.657207,2015-01-01,"Evap"
"135",2015,"Upper Basin",4.10750111317255,2015-01-01,"Evap"
"136",2016,"Lower Basin",8.111085,2016-01-01,"Evap"
"137",2016,"Mexico",1.645777,2016-01-01,"Evap"
"138",2016,"Upper Basin",4.17511638350297,2016-01-01,"Evap"
"139",2017,"Lower Basin",7.483239,2017-01-01,"Evap"
"140",2017,"Mexico",1.647206,2017-01-01,"Evap"
"141",2017,"Upper Basin",4.6090417459391,2017-01-01,"Evap"
"142",2018,"Lower Basin",8.055324,2018-01-01,"Evap"
"143",2018,"Mexico",1.616521,2018-01-01,"Evap"
"144",2018,"Upper Basin",4.8398067375919,2018-01-01,"Evap"
"145",2019,"Lower Basin",7.70248,2019-01-01,"Evap"
"146",2019,"Mexico",1.651878,2019-01-01,"Evap"
"147",2019,"Upper Basin",4.4350115012705,2019-01-01,"Evap"
"148",2020,"Lower Basin",7.138066,2020-01-01,"Evap"
"149",2020,"Mexico",1.642888,2020-01-01,"Evap"
"150",2020,"Upper Basin",4.79997185603944,2020-01-01,"Evap"
"151",2021,"Lower Basin",7.978393,2021-01-01,"Evap"
"152",2021,"Mexico",1.610556,2021-01-01,"Evap"
"153",2021,"Upper Basin",4.0902584902135,2021-01-01,"Evap"
"154",2022,"Lower Basin",7.57474,2022-01-01,"Evap"
"155",2022,"Mexico",1.610023,2022-01-01,"Evap"
"156",2022,"Upper Basin",4.06236596950601,2022-01-01,"Evap"
"157",2023,"Lower Basin",6.693784,2023-01-01,"Evap"
"158",2023,"Mexico",1.570136,2023-01-01,"Evap"
"159",2023,"Upper Basin",4.64749001968641,2023-01-01,"Evap"
"160",2024,"Lower Basin",6.628925,2024-01-01,"Evap"
"161",2024,"Mexico",1.47305,2024-01-01,"Evap"
"162",2024,"Upper Basin",4.46368296291903,2024-01-01,"Evap"
"163",1971,"Lower Basin",5.196175,1971-01-01,"No Evap"
"164",1971,"Mexico",1.283239,1971-01-01,"No Evap"
"165",1971,"Upper Basin",3.35468374591664,1971-01-01,"No Evap"
"166",1972,"Lower Basin",6.539749,1972-01-01,"No Evap"
"167",1972,"Mexico",1.600485,1972-01-01,"No Evap"
"168",1972,"Upper Basin",3.72222181541539,1972-01-01,"No Evap"
"169",1973,"Lower Basin",6.209725,1973-01-01,"No Evap"
"170",1973,"Mexico",1.593723,1973-01-01,"No Evap"
"171",1973,"Upper Basin",3.66655538243294,1973-01-01,"No Evap"
"172",1974,"Lower Basin",6.75231,1974-01-01,"No Evap"
"173",1974,"Mexico",1.720496,1974-01-01,"No Evap"
"174",1974,"Upper Basin",4.00938068976956,1974-01-01,"No Evap"
"175",1975,"Lower Basin",6.225216,1975-01-01,"No Evap"
"176",1975,"Mexico",1.655579,1975-01-01,"No Evap"
"177",1975,"Upper Basin",3.87174891168183,1975-01-01,"No Evap"
