"","State","Year","Crop","Crop_Group","Type","ET","Acres","ET_per_Acre","Date"
"763","Nevada",2013,"USGS barren","Other","Riparian",581.65,664.476470947266,0.875350784311159,2013-01-01
"764","Nevada",2013,"marsh","Other","Riparian",614.44,108.810858726501,5.64686288842191,2013-01-01
"765","Nevada",2014,"Alfalfa","Alfalfa/Grass","Crop",1579.67,277.889316558838,5.68452943625681,2014-01-01
"766","Nevada",2014,"Bermuda","Alfalfa/Grass","Crop",252.6,81.6933975219727,3.09204914549012,2014-01-01
"767","Nevada",2014,"Maintained","Other","Open Water",348.71,72.2291431427002,4.82782966580495,2014-01-01
"768","Nevada",2014,"Mixed Veg Low","Vegetables","Riparian",6286.79,2393.77174377441,2.62631139178175,2014-01-01
"769","Nevada",2014,"Mixed Veg Medium","Vegetables","Riparian",4807.3,1847.8391418457,2.60157926690429,2014-01-01
"770","Nevada",2014,"River","Other","Mainstream Open Water",70168.11,14544.0997886658,4.8245069148028,2014-01-01
"771","Nevada",2014,"Salt Cedar Dense","Other","Riparian",4245.32,1218.37966918945,3.48439826053915,2014-01-01
"772","Nevada",2014,"USGS barren","Other","Riparian",574.57,664.395614624023,0.864801012157711,2014-01-01
"773","Nevada",2014,"marsh","Other","Riparian",611.53,108.810762405396,5.62012420905229,2014-01-01
"774","Nevada",2015,"Alfalfa","Alfalfa/Grass","Crop",881.59,174.629703521729,5.04833932728006,2015-01-01
"775","Nevada",2015,"Bermuda","Alfalfa/Grass","Crop",336.1,113.411502838135,2.96354418722142,2015-01-01
"776","Nevada",2015,"Maintained","Other","Maintained Open Water",328.3,67.1075097322464,4.89214994431906,2015-01-01
"777","Nevada",2015,"Mixed Veg Low","Vegetables","Riparian",6497.18,2423.26429748535,2.68116854060954,2015-01-01
"778","Nevada",2015,"Mixed Veg Medium","Vegetables","Riparian",4895.09,1849.43643188477,2.64680089329234,2015-01-01
"779","Nevada",2015,"River","Other","Mainstream Open Water",71034.81,14522.9647483826,4.89120584059196,2015-01-01
"780","Nevada",2015,"Salt Cedar Dense","Other","Riparian",4239.03,1187.28988647461,3.57034120166461,2015-01-01
"781","Nevada",2015,"Small Grains Spring","Grains","Crop",228.9,123.515937805176,1.85320213785729,2015-01-01
"782","Nevada",2015,"USGS barren","Other","Riparian",584.03,664.395614624023,0.879039516735068,2015-01-01
"783","Nevada",2015,"marsh","Other","Riparian",623.05,108.810762405396,5.72599608923524,2015-01-01
"784","Nevada",2016,"Alfalfa","Alfalfa/Grass","Crop",1728,325,5.31692307692308,2016-01-01
"785","Nevada",2016,"Bermuda","Alfalfa/Grass","Crop",260,82,3.17073170731707,2016-01-01
"786","Nevada",2016,"Maintained","Other","Maintained Open Water",319,66,4.83333333333333,2016-01-01
"787","Nevada",2016,"Mixed Veg Low","Vegetables","Riparian",6470,2443,2.64838313548915,2016-01-01
"788","Nevada",2016,"Mixed Veg Medium","Vegetables","Riparian",4705,1798,2.61679644048943,2016-01-01
"789","Nevada",2016,"River","Other","Mainstream Open Water",69057,14479,4.76945921679674,2016-01-01
"790","Nevada",2016,"Salt Cedar Dense","Other","Riparian",4183,1187,3.5240101095198,2016-01-01
"791","Nevada",2016,"USGS barren","Other","Riparian",601,693,0.867243867243867,2016-01-01
"792","Nevada",2016,"marsh","Other","Riparian",613,109,5.62385321100917,2016-01-01
