"","Water_Year","State","Category","Region","Apportionment_Countable","Consumptive_Use","Consumptive_Use_MAF","Date"
"60",1972,"Arizona","Municipal and Industrial","Lower Basin","Yes",16304,0.016304,1972-01-01
"61",1972,"Arizona","Municipal and Industrial","Upper Basin","Yes",3481.7,0.0034817,1972-01-01
"62",1972,"Arizona","Power","Lower Basin","Yes",0,0,1972-01-01
"63",1972,"Arizona","Power","Upper Basin","Yes",0,0,1972-01-01
"64",1972,"Arizona","Reservoir Evaporation","Upper Basin","Yes",4600,0.0046,1972-01-01
"65",1972,"California","Agriculture","Lower Basin","Yes",488420,0.48842,1972-01-01
"66",1972,"California","Export","Lower Basin","Yes",4820414,4.820414,1972-01-01
"67",1972,"California","Export Within System","Lower Basin","Yes",0,0,1972-01-01
"68",1972,"California","Municipal and Industrial","Lower Basin","Yes",4669,0.004669,1972-01-01
"69",1972,"California","Power","Lower Basin","Yes",0,0,1972-01-01
"70",1972,"Colorado","Agriculture","Upper Basin","Yes",1335535.69040463,1.33553569040463,1972-01-01
"71",1972,"Colorado","Export","Upper Basin","Yes",468157.930103518,0.468157930103518,1972-01-01
"72",1972,"Colorado","Import","Upper Basin","Yes",-381.97,-0.00038197,1972-01-01
"73",1972,"Colorado","Mineral","Upper Basin","Yes",18069.2,0.0180692,1972-01-01
"74",1972,"Colorado","Municipal and Industrial","Upper Basin","Yes",18615.5,0.0186155,1972-01-01
"75",1972,"Colorado","Power","Upper Basin","Yes",4245.01,0.00424501,1972-01-01
"76",1972,"Colorado","Reservoir Evaporation","Upper Basin","Yes",65373.7054302612,0.0653737054302612,1972-01-01
"77",1972,"Lake Powell","Reservoir Evaporation","Upper Basin","Yes",389710.4624375,0.3897104624375,1972-01-01
"78",1972,"Lower Basin Reservoirs","Reservoir Evaporation","Lower Basin","No",996166,0.996166,1972-01-01
"79",1972,"Mexico","Mexico Deliveries","Mexico","Yes",1600485,1.600485,1972-01-01
"80",1972,"Nevada","Agriculture","Lower Basin","Yes",0,0,1972-01-01
"81",1972,"Nevada","Export","Lower Basin","Yes",0,0,1972-01-01
"82",1972,"Nevada","Export Within System","Lower Basin","Yes",0,0,1972-01-01
"83",1972,"Nevada","Municipal and Industrial","Lower Basin","Yes",66295,0.066295,1972-01-01
"84",1972,"Nevada","Power","Lower Basin","Yes",10725,0.010725,1972-01-01
"85",1972,"New Mexico","Agriculture","Upper Basin","Yes",100453.612463547,0.100453612463547,1972-01-01
"86",1972,"New Mexico","Export","Upper Basin","Yes",41067.311304,0.041067311304,1972-01-01
"87",1972,"New Mexico","Mineral","Upper Basin","Yes",2546.4,0.0025464,1972-01-01
