"","Water_Year","State","Region","Consumptive_Use_MAF","Date"
"84",1978,"Mexico","Mexico",1.744496,1978-01-01
"85",1978,"Nevada","Lower Basin",0.070137,1978-01-01
"86",1978,"New Mexico","Upper Basin",0.324874947955467,1978-01-01
"87",1978,"Utah","Upper Basin",0.758077939256328,1978-01-01
"88",1978,"Wyoming","Upper Basin",0.357882251348152,1978-01-01
"89",1979,"Arizona","Lower Basin",1.016233,1979-01-01
"90",1979,"Arizona","Upper Basin",0.033723852486769,1979-01-01
"91",1979,"California","Lower Basin",4.57353,1979-01-01
"92",1979,"Colorado","Upper Basin",1.92922764452945,1979-01-01
"93",1979,"Lake Powell","Upper Basin",0.5418088084839,1979-01-01
"94",1979,"Lower Basin Reservoirs","Lower Basin",1.058311,1979-01-01
"95",1979,"Mexico","Mexico",2.766462,1979-01-01
"96",1979,"Nevada","Lower Basin",0.079628,1979-01-01
"97",1979,"New Mexico","Upper Basin",0.41149850579883,1979-01-01
"98",1979,"Utah","Upper Basin",0.812166420416042,1979-01-01
"99",1979,"Wyoming","Upper Basin",0.358488371925604,1979-01-01
"100",1980,"Arizona","Lower Basin",1.070612,1980-01-01
"101",1980,"Arizona","Upper Basin",0.0363196338943979,1980-01-01
"102",1980,"California","Lower Basin",4.666101,1980-01-01
"103",1980,"Colorado","Upper Basin",1.84069537622122,1980-01-01
"104",1980,"Lake Powell","Upper Basin",0.6323430051335,1980-01-01
"105",1980,"Lower Basin Reservoirs","Lower Basin",1.085634,1980-01-01
"106",1980,"Mexico","Mexico",6.140261,1980-01-01
"107",1980,"Nevada","Lower Basin",0.093381,1980-01-01
"108",1980,"New Mexico","Upper Basin",0.422717414721209,1980-01-01
"109",1980,"Utah","Upper Basin",0.778288130504153,1980-01-01
"110",1980,"Wyoming","Upper Basin",0.355922697419138,1980-01-01
"111",1981,"Arizona","Lower Basin",1.26747,1981-01-01
"112",1981,"Arizona","Upper Basin",0.0404558186325018,1981-01-01
"113",1981,"California","Lower Basin",4.80732,1981-01-01
"114",1981,"Colorado","Upper Basin",2.11029600008932,1981-01-01
"115",1981,"Lake Powell","Upper Basin",0.6050284052083,1981-01-01
"116",1981,"Lower Basin Reservoirs","Lower Basin",1.135473,1981-01-01
"117",1981,"Mexico","Mexico",3.865603,1981-01-01
"118",1981,"Nevada","Lower Basin",0.109255,1981-01-01
"119",1981,"New Mexico","Upper Basin",0.2809321367675,1981-01-01
"120",1981,"Utah","Upper Basin",0.735898038584825,1981-01-01
"121",1981,"Wyoming","Upper Basin",0.348121552414432,1981-01-01
"122",1982,"Arizona","Lower Basin",1.123421,1982-01-01
"123",1982,"Arizona","Upper Basin",0.039912702350223,1982-01-01
"124",1982,"California","Lower Basin",4.322235,1982-01-01
"125",1982,"Colorado","Upper Basin",2.10875081414265,1982-01-01
"126",1982,"Lake Powell","Upper Basin",0.5995979207419,1982-01-01
"127",1982,"Lower Basin Reservoirs","Lower Basin",1.118374,1982-01-01
"128",1982,"Mexico","Mexico",1.670553,1982-01-01
"129",1982,"Nevada","Lower Basin",0.105718,1982-01-01
"130",1982,"New Mexico","Upper Basin",0.396125093769287,1982-01-01
"131",1982,"Utah","Upper Basin",0.693378876386775,1982-01-01
"132",1982,"Wyoming","Upper Basin",0.334319223098508,1982-01-01
"133",1983,"Arizona","Lower Basin",0.931845,1983-01-01
"134",1983,"Arizona","Upper Basin",0.0409063628934724,1983-01-01
"135",1983,"California","Lower Basin",3.937007,1983-01-01
"136",1983,"Colorado","Upper Basin",1.89163140115223,1983-01-01
"137",1983,"Lake Powell","Upper Basin",0.6708135686853,1983-01-01
"138",1983,"Lower Basin Reservoirs","Lower Basin",1.135581,1983-01-01
"139",1983,"Mexico","Mexico",9.615858,1983-01-01
"140",1983,"Nevada","Lower Basin",0.09197,1983-01-01
"141",1983,"New Mexico","Upper Basin",0.416156632171188,1983-01-01
"142",1983,"Utah","Upper Basin",0.667519754419127,1983-01-01
"143",1983,"Wyoming","Upper Basin",0.349791017753916,1983-01-01
"144",1984,"Arizona","Lower Basin",1.047052,1984-01-01
"145",1984,"Arizona","Upper Basin",0.042965941021514,1984-01-01
"146",1984,"California","Lower Basin",4.643437,1984-01-01
"147",1984,"Colorado","Upper Basin",1.93090135402418,1984-01-01
"148",1984,"Lake Powell","Upper Basin",0.657054210529,1984-01-01
"149",1984,"Lower Basin Reservoirs","Lower Basin",1.14971,1984-01-01
"150",1984,"Mexico","Mexico",16.803519,1984-01-01
"151",1984,"Nevada","Lower Basin",0.098915,1984-01-01
"152",1984,"New Mexico","Upper Basin",0.388545998249233,1984-01-01
"153",1984,"Utah","Upper Basin",0.722227187962865,1984-01-01
"154",1984,"Wyoming","Upper Basin",0.320976555246347,1984-01-01
"155",1985,"Arizona","Lower Basin",1.085367,1985-01-01
"156",1985,"Arizona","Upper Basin",0.0450221336533806,1985-01-01
"157",1985,"California","Lower Basin",4.689221,1985-01-01
"158",1985,"Colorado","Upper Basin",1.99891557289494,1985-01-01
"159",1985,"Lake Powell","Upper Basin",0.6517157027452,1985-01-01
