SiteName, Lat, Lon, State, DoiRegion, Huc8, DataUnits, DataValue, DataDate, DateQueried, DataDateMax, DataDateP90, DataDateP75, DataDateP50, DataDateP25, DataDateP10, DataDateMin, DataDateAvg, DataValuePctMdn, DataValuePctAvg, StatsPeriod, MaxCapacity, PctFull, TeacupUrl, DataUrl, Comment
GLENDO DAM AND RESERVOIR, 42.47722, -104.95056, WY, MB, 10180008, ACRE-FEET, 335940, 03/26/2026, 03/28/2026, 515141, 462452, 399742, 365935, 336932, 314856, 308380, 379026.36666666664, 0.9180318909095878, 0.886323563593773, 9120, 492022, 0.682774347488527, https://www.usbr.gov/lc/region/g4000/riverops/webreports/GlendoDam.png, placeholder-url, placeholder-comment 
GUERNSEY DAM AND RESERVOIR, 42.28861, -104.7625, WY, MB, 10180008, ACRE-FEET, 17510, 03/26/2026, 03/28/2026, 28121.900390625, 26933.80078125, 24392.69921875, 21123.69921875, 14223.099609375, 0, 0, 18398.881924715908, 0.8289267811793884, 0.9516882640829474, 9120, 45612, 0.3838902043321933, https://www.usbr.gov/lc/region/g4000/riverops/webreports/GuernseyDam.png, placeholder-url, placeholder-comment 
JAMESTOWN DAM AND RESERVOIR, 46.93056, -98.70639, ND, MB, 10160001, ACRE-FEET, 32947, 03/25/2026, 03/28/2026, 80219.6015625, 43232.6015625, 32025, 29428.599609375, 27274, 19019.5, 16316.400390625, 32184.800130208332, 1.1195571803390927, 1.0236819823863463, 9120, 30488, 1.0806546838100237, https://www.usbr.gov/lc/region/g4000/riverops/webreports/JamestownDam.png, placeholder-url, placeholder-comment 
KEITH SEBELIUS LAKE - NORTON DAM, 39.8075, -99.93417, KS, MB, 10250015, ACRE-FEET, 12752, 03/25/2026, 03/28/2026, 40540.19921875, 29936, 24828, 17204, 10357, 8831, 4402, 18631.749869791667, 0.7412229714019996, 0.6844230997688135, 9120, 34510, 0.36951608229498695, https://www.usbr.gov/lc/region/g4000/riverops/webreports/NortonDam.png, placeholder-url, placeholder-comment 
KIRWIN DAM AND RESERVOIR, 39.66361, -99.12472, KS, MB, 10260011, ACRE-FEET, 32882, 03/25/2026, 03/28/2026, 111360, 106401, 99855.203125, 80408.8984375, 37070, 15317, 8750, 69289.84010416667, 0.40893483978714656, 0.47455730812146407, 9120, 98154, 0.33500417710944025, https://www.usbr.gov/lc/region/g4000/riverops/webreports/KirwinDam.png, placeholder-url, placeholder-comment 
LAKE ELWELL - TIBER DAM, 48.31833, -111.09083, MT, MB, 10030203, ACRE-FEET, 796682, 03/26/2026, 03/28/2026, 881749, 802229, 787338, 742858, 716600, 673556, 644530, 749302, 1.0724553010131141, 1.0632321814168386, 9120, 925649, 0.8606739703710585, https://www.usbr.gov/lc/region/g4000/riverops/webreports/LakeElwell.png, placeholder-url, placeholder-comment 
LAKE SHERBURNE - SHERBURNE DAM, 48.82833, -113.52111, MT, MB, 9040001, ACRE-FEET, 62829, 03/26/2026, 03/28/2026, 58453, 50649, 42329.30078125, 32332, 22511.099609375, 20173, 14030.7001953125, 33869.51998697917, 1.9432450822714338, 1.8550307185975485, 9120, 66147, 0.9498389949657581, https://www.usbr.gov/lc/region/g4000/riverops/webreports/LakeSherburne.png, placeholder-url, placeholder-comment 
LAKE TSCHIDA - HEART BUTTE DAM, 46.59667, -101.80944, ND, MB, 10130202, ACRE-FEET, 63761, 03/26/2026, 03/28/2026, 133051, 80261, 72050, 64724, 60780, 51619.69921875, 38422.3984375, 69047.40325520834, 0.9851214387244299, 0.9234380584064966, 9120, 65091, 0.9795670676437602, https://www.usbr.gov/lc/region/g4000/riverops/webreports/LakeTschida.png, placeholder-url, placeholder-comment 
MCGEE CREEK DAM AND RESERVOIR, 34.31444, -95.875, OK, ART, 11140103, ACRE-FEET, 94152, 03/25/2026, 03/28/2026, 154406, 131020, 119773, 115993, 111887, 102890, 82180.1015625, 117038.4234375, 0.811704154561051, 0.8044537617193585, 9120, 113924, 0.8264457006425336, https://www.usbr.gov/lc/region/g4000/riverops/webreports/McGeeCreek.png, placeholder-url, placeholder-comment 
PATHFINDER DAM AND RESERVOIR, 42.46806, -106.85361, WY, MB, 10180003, ACRE-FEET, 346631, 03/26/2026, 03/28/2026, 995739, 961392, 854875, 546775, 320025, 245710, 212436, 594773.6, 0.6339554661423803, 0.5827948651386007, 9120, 1070185, 0.3238982045160416, https://www.usbr.gov/lc/region/g4000/riverops/webreports/PathfinderDam.png, placeholder-url, placeholder-comment 
PUEBLO DAM AND RESERVOIR, 38.25972, -104.71806, CO, MB, 11020002, ACRE-FEET, 218293, 03/26/2026, 03/28/2026, 277017, 266923, 264235, 228295, 175890, 142640, 113741, 217268.43333333332, 0.956188265183206, 1.0047156719959167, 9120, 330654, 0.6601855716247195, https://www.usbr.gov/lc/region/g4000/riverops/webreports/PuebloDam.png, placeholder-url, placeholder-comment 
SEMINOE DAM AND RESERVOIR, 42.15583, -106.90806, WY, MB, 10180003, ACRE-FEET, 322195, 03/26/2026, 03/28/2026, 841224, 767600, 726875, 564479, 324199, 234976, 189094, 535672.0666666667, 0.5707829697827554, 0.601478068484935, 9120, 1017273, 0.31672422250467674, https://www.usbr.gov/lc/region/g4000/riverops/webreports/SeminoeDam.png, placeholder-url, placeholder-comment 
SHADEHILL DAM AND RESERVOIR, 45.75333, -102.20333, SD, MB, 10130302, ACRE-FEET, 103703, 03/26/2026, 03/28/2026, 187672, 145046, 127509, 105214, 91348, 78742, 62466, 111955.7, 0.9856387933164787, 0.9262860220605115, 9120, 120172, 0.8629547648370669, https://www.usbr.gov/lc/region/g4000/riverops/webreports/ShadehillDam.png, placeholder-url, placeholder-comment 
FOLSOM DAM AND RESERVOIR, 38.70779, -121.15681, CA, CGB, 18020111, ACRE-FEET, 800636, 03/26/2026, 03/28/2026, 829982, 705499, 675783, 606889, 561787, 414171, 396678, 602443.6666666666, 1.3192461883474573, 1.3289806903107402, 9120, 977000, 0.8194841351074719, https://www.usbr.gov/lc/region/g4000/riverops/webreports/FolsomDam.png, placeholder-url, placeholder-comment 
MILLERTON LAKE - FRIANT DAM, 37.001274, -119.70499, CA, CGB, 18040006, ACRE-FEET, 414843, 03/26/2026, 03/28/2026, 499109, 477274, 452385, 365384, 286655, 204277, 168493, 364748.4, 1.1353617016618134, 1.1373401500870188, 9120, 520500, 0.7970086455331412, https://www.usbr.gov/lc/region/g4000/riverops/webreports/MillertonLake.png, placeholder-url, placeholder-comment 
NEW MELONES LAKE - NEW MELONES DAM, 37.95366, -120.525696, CA, CGB, 18040010, ACRE-FEET, 1885430, 03/26/2026, 03/28/2026, 2054680, 2014100, 1985550, 1557250, 1042980, 490710, 417148, 1486477.3, 1.2107432974795311, 1.2683880204561482, 9120, 2420000, 0.779103305785124, https://www.usbr.gov/lc/region/g4000/riverops/webreports/NewMelonesLake.png, placeholder-url, placeholder-comment 
SHASTA LAKE - SHASTA DAM, 40.71916, -122.41919, CA, CGB, 18020005, ACRE-FEET, 4075320, 03/26/2026, 03/28/2026, 4204390, 4010720, 3941140, 3777230, 3579190, 2353880, 1963860, 3565615, 1.0789176195254193, 1.142950094163279, 9120, 4552000, 0.8952811950790861, https://www.usbr.gov/lc/region/g4000/riverops/webreports/ShastaLake.png, placeholder-url, placeholder-comment 
TRINITY LAKE - TRINITY DAM, 40.801144, -122.76286, CA, CGB, 18010211, ACRE-FEET, 2230540, 03/26/2026, 03/28/2026, 2238400, 2142640, 2082790, 1989440, 1293500, 1176790, 803914, 1782724.4666666666, 1.1211898825800226, 1.2511972779341822, 9120, 2448000, 0.9111683006535948, https://www.usbr.gov/lc/region/g4000/riverops/webreports/TrinityLake.png, placeholder-url, placeholder-comment 
WHISKEYTOWN LAKE - WHISKEYTOWN DAM, 40.60048, -122.54007, CA, CGB, 18020154, ACRE-FEET, 203712, 03/26/2026, 03/28/2026, 237959, 221074, 213813, 206978, 205829, 204121, 203128, 211340.26666666666, 0.9842205451787146, 0.9639052851262924, 9120, 237895, 0.8563105571785872, https://www.usbr.gov/lc/region/g4000/riverops/webreports/WhiskeytownLake.png, placeholder-url, placeholder-comment 
