"","Year","Reservoir","Elevation"
"127",2012,"Lake Mead",1121.91131155738
"128",2012,"Lake Powell",3628.86897084699
"129",2013,"Lake Mead",1111.00624657534
"130",2013,"Lake Powell",3595.83122375342
"131",2014,"Lake Mead",1090.73898630137
"132",2014,"Lake Powell",3593.78782649315
"133",2015,"Lake Mead",1080.70659178082
"134",2015,"Lake Powell",3601.46867671233
"135",2016,"Lake Mead",1077.22319672131
"136",2016,"Lake Powell",3604.74128415301
"137",2017,"Lake Mead",1083.04463013699
"138",2017,"Lake Powell",3616.93893150685
"139",2018,"Lake Mead",1081.56726027397
"140",2018,"Lake Powell",3604.10584931507
"141",2019,"Lake Mead",1085.46421917808
"142",2019,"Lake Powell",3596.95282090411
"143",2020,"Lake Mead",1088.78193169399
"144",2020,"Lake Powell",3600.11073087432
"145",2021,"Lake Mead",1074.01164931507
"146",2021,"Lake Powell",3557.5686369863
"147",2022,"Lake Mead",1051.11536438356
"148",2022,"Lake Powell",3530.15304109589
"149",2023,"Lake Mead",1056.60569315068
"150",2023,"Lake Powell",3554.83773972603
"151",2024,"Lake Mead",1066.90276092896
"152",2024,"Lake Powell",3572.19635245902
"153",2025,"Lake Mead",1060.10167123288
"154",2025,"Lake Powell",3554.96848860274
"155",2026,"Lake Mead",1064.96064935065
"156",2026,"Lake Powell",3534.16714285714
