"","HUC6","Peak_Avg_SWE","Snow_Year","Date","Days2Peak"
"477","Lower Green",8.3391304348,2018,2018-01-01,176
"478","Lower San Juan",2.85,2018,2018-01-01,149
"479","Salt",1.2444444444,2018,2018-01-01,144
"480","Upper Colorado - Dirty Devil",5.65,2018,2018-01-01,174
"481","Upper Colorado - Dolores",8.5777777778,2018,2018-01-01,174
"482","Upper Gila",0.7,2018,2018-01-01,144
"483","Upper Green",15.4869565217,2018,2018-01-01,191
"484","Upper San Juan",9.2375,2018,2018-01-01,180
"485","Verde",2.4666666667,2018,2018-01-01,151
"486","White Yampa",18.285,2018,2018-01-01,191
"487","Colorado Headwaters",20.8290322581,2019,2019-01-01,195
"488","Full Basin",16.5140050044714,2019,2019-01-01,173
"489","Gunnison",23.2733333333,2019,2019-01-01,187
"490","Little Colorado",10.7454545455,2019,2019-01-01,166
"491","Lower Colorado - Lake Mead",18.8357142857,2019,2019-01-01,172
"492","Lower Green",19.8130434783,2019,2019-01-01,195
"493","Lower San Juan",21.4,2019,2019-01-01,173
"494","Salt",7.7222222222,2019,2019-01-01,147
"495","Upper Colorado - Dirty Devil",15.275,2019,2019-01-01,185
"496","Upper Colorado - Dolores",23.8444444444,2019,2019-01-01,185
"497","Upper Gila",3.9625,2019,2019-01-01,147
"498","Upper Green",14.6434782609,2019,2019-01-01,198
"499","Upper San Juan",29.4875,2019,2019-01-01,185
"500","Verde",8.2888888889,2019,2019-01-01,145
"501","White Yampa",24.195,2019,2019-01-01,185
"502","Colorado Headwaters",17.4806451613,2020,2020-01-01,202
"503","Full Basin",11.33737299885,2020,2020-01-01,182
"504","Gunnison",15.26,2020,2020-01-01,187
"505","Little Colorado",6.2181818182,2020,2020-01-01,103
"506","Lower Colorado - Lake Mead",10.1428571429,2020,2020-01-01,181
"507","Lower Green",14.7826086957,2020,2020-01-01,182
"508","Lower San Juan",10.9,2020,2020-01-01,182
"509","Salt",5.0444444444,2020,2020-01-01,109
"510","Upper Colorado - Dirty Devil",12.3125,2020,2020-01-01,182
"511","Upper Colorado - Dolores",15.4888888889,2020,2020-01-01,183
"512","Upper Gila",3.9875,2020,2020-01-01,135
"513","Upper Green",15.3869565217,2020,2020-01-01,200
"514","Upper San Juan",17.90625,2020,2020-01-01,182
"515","Verde",5.4222222222,2020,2020-01-01,103
"516","White Yampa",22.635,2020,2020-01-01,186
"517","Colorado Headwaters",14.2322580645,2021,2021-01-01,182
"518","Full Basin",9.27835905207857,2021,2021-01-01,177
"519","Gunnison",14.1066666667,2021,2021-01-01,179
"520","Little Colorado",4.84,2021,2021-01-01,124
"521","Lower Colorado - Lake Mead",5.4928571429,2021,2021-01-01,167
"522","Lower Green",10.3043478261,2021,2021-01-01,177
"523","Lower San Juan",8.35,2021,2021-01-01,177
"524","Salt",3.0333333333,2021,2021-01-01,123
"525","Upper Colorado - Dirty Devil",9,2021,2021-01-01,177
"526","Upper Colorado - Dolores",13.4777777778,2021,2021-01-01,177
"527","Upper Gila",2.2875,2021,2021-01-01,140
"528","Upper Green",12.2434782609,2021,2021-01-01,182
"529","Upper San Juan",16.7466666667,2021,2021-01-01,177
"530","Verde",5.0666666667,2021,2021-01-01,122
"531","White Yampa",17.995,2021,2021-01-01,179
"532","Colorado Headwaters",15.8161290323,2022,2022-01-01,196
"533","Full Basin",9.90005565988571,2022,2022-01-01,164
"534","Gunnison",15.66,2022,2022-01-01,174
"535","Little Colorado",5.8363636364,2022,2022-01-01,161
"536","Lower Colorado - Lake Mead",9,2022,2022-01-01,161
"537","Lower Green",11.1782608696,2022,2022-01-01,171
"538","Lower San Juan",8.95,2022,2022-01-01,164
"539","Salt",3.7333333333,2022,2022-01-01,94
"540","Upper Colorado - Dirty Devil",8.6875,2022,2022-01-01,171
"541","Upper Colorado - Dolores",14.7555555556,2022,2022-01-01,172
"542","Upper Gila",2.1625,2022,2022-01-01,95
"543","Upper Green",11.5136363636,2022,2022-01-01,199
"544","Upper San Juan",16.675,2022,2022-01-01,167
"545","Verde",5.3888888889,2022,2022-01-01,161
"546","White Yampa",17.76,2022,2022-01-01,199
"547","Colorado Headwaters",21.6741935484,2023,2023-01-01,188
"548","Full Basin",20.6756625547929,2023,2023-01-01,186
"549","Gunnison",25.2466666667,2023,2023-01-01,188
"550","Little Colorado",16.9363636364,2023,2023-01-01,175
"551","Lower Colorado - Lake Mead",26.4214285714,2023,2023-01-01,187
"552","Lower Green",25.3913043478,2023,2023-01-01,189
"553","Lower San Juan",25.7,2023,2023-01-01,182
"554","Salt",9.9555555556,2023,2023-01-01,154
"555","Upper Colorado - Dirty Devil",20.2375,2023,2023-01-01,188
"556","Upper Colorado - Dolores",29.0555555556,2023,2023-01-01,188
"557","Upper Gila",4.8125,2023,2023-01-01,154
"558","Upper Green",17.752173913,2023,2023-01-01,189
"559","Upper San Juan",30.83125,2023,2023-01-01,187
"560","Verde",17.8888888889,2023,2023-01-01,175
"561","White Yampa",30.08,2023,2023-01-01,188
"562","Colorado Headwaters",17.1129032258,2024,2024-01-01,191
"563","Full Basin",12.7092345346786,2024,2024-01-01,184
"564","Gunnison",16.3,2024,2024-01-01,191
"565","Little Colorado",8.0272727273,2024,2024-01-01,178
"566","Lower Colorado - Lake Mead",9.9142857143,2024,2024-01-01,183
"567","Lower Green",16.2608695652,2024,2024-01-01,184
"568","Lower San Juan",13.6,2024,2024-01-01,178
"569","Salt",6.6,2024,2024-01-01,133
"570","Upper Colorado - Dirty Devil",13.9125,2024,2024-01-01,184
"571","Upper Colorado - Dolores",16.2333333333,2024,2024-01-01,184
"572","Upper Gila",5.2125,2024,2024-01-01,135
"573","Upper Green",14.1590909091,2024,2024-01-01,185
"574","Upper San Juan",17.88125,2024,2024-01-01,184
"575","Verde",6.8111111111,2024,2024-01-01,131
"576","White Yampa",22.42,2024,2024-01-01,190
"577","Colorado Headwaters",15.5032258065,2025,2025-01-01,188
"578","Full Basin",8.56074449232857,2025,2025-01-01,171
"579","Gunnison",13.4,2025,2025-01-01,173
"580","Little Colorado",3.9363636364,2025,2025-01-01,166
"581","Lower Colorado - Lake Mead",5.9214285714,2025,2025-01-01,170
"582","Lower Green",11.8869565217,2025,2025-01-01,173
"583","Lower San Juan",4.6,2025,2025-01-01,171
"584","Salt",1.1222222222,2025,2025-01-01,166
"585","Upper Colorado - Dirty Devil",7.625,2025,2025-01-01,172
"586","Upper Colorado - Dolores",12.0777777778,2025,2025-01-01,173
"587","Upper Gila",0.5875,2025,2025-01-01,158
"588","Upper Green",14.4304347826,2025,2025-01-01,187
"589","Upper San Juan",11.43125,2025,2025-01-01,173
"590","Verde",3.6888888889,2025,2025-01-01,166
"591","White Yampa",19.31,2025,2025-01-01,188
"592","Colorado Headwaters",9.07,2026,2026-01-01,167
"593","Full Basin",5.71667371108571,2026,2026-01-01,146
"594","Gunnison",8.62,2026,2026-01-01,159
"595","Little Colorado",3.0181818182,2026,2026-01-01,144
"596","Lower Colorado - Lake Mead",5.75,2026,2026-01-01,145
"597","Lower Green",7.4913043478,2026,2026-01-01,157
"598","Lower San Juan",3.35,2026,2026-01-01,145
"599","Salt",1.2777777778,2026,2026-01-01,100
"600","Upper Colorado - Dirty Devil",4.8625,2026,2026-01-01,145
"601","Upper Colorado - Dolores",8.1333333333,2026,2026-01-01,146
"602","Upper Gila",1.1875,2026,2026-01-01,104
"603","Upper Green",11.1217391304,2026,2026-01-01,167
"604","Upper San Juan",8.4875,2026,2026-01-01,146
"605","Verde",2.3888888889,2026,2026-01-01,145
"606","White Yampa",12.055,2026,2026-01-01,159
