"","HUC6","Peak_Avg_SWE","Snow_Year","Date","Days2Peak"
"98","Little Colorado",14.55,1991,1991-01-01,179
"99","Lower Colorado - Lake Mead",11.4625,1991,1991-01-01,178
"100","Lower Green",12.8571428571,1991,1991-01-01,182
"101","Salt",13.8375,1991,1991-01-01,179
"102","Upper Colorado - Dirty Devil",8.84,1991,1991-01-01,183
"103","Upper Colorado - Dolores",16.625,1991,1991-01-01,183
"104","Upper Gila",8.9333333333,1991,1991-01-01,179
"105","Upper Green",13.5388888889,1991,1991-01-01,216
"106","Upper San Juan",22.64,1991,1991-01-01,183
"107","White Yampa",23.1666666667,1991,1991-01-01,212
"108","Colorado Headwaters",15.3545454545,1992,1992-01-01,182
"109","Full Basin",12.8318160774417,1992,1992-01-01,184
"110","Gunnison",17.1416666667,1992,1992-01-01,183
"111","Little Colorado",12.6,1992,1992-01-01,162
"112","Lower Colorado - Lake Mead",12.75,1992,1992-01-01,183
"113","Lower Green",9.6380952381,1992,1992-01-01,177
"114","Salt",10.8,1992,1992-01-01,162
"115","Upper Colorado - Dirty Devil",12.4,1992,1992-01-01,184
"116","Upper Colorado - Dolores",16.175,1992,1992-01-01,184
"117","Upper Gila",9.9333333333,1992,1992-01-01,162
"118","Upper Green",10.0222222222,1992,1992-01-01,179
"119","Upper San Juan",21.16,1992,1992-01-01,184
"120","White Yampa",17.92,1992,1992-01-01,181
"121","Colorado Headwaters",26.7954545455,1993,1993-01-01,207
"122","Full Basin",20.5615145502667,1993,1993-01-01,189
"123","Gunnison",29.4166666667,1993,1993-01-01,201
"124","Little Colorado",17.8,1993,1993-01-01,155
"125","Lower Colorado - Lake Mead",27.0125,1993,1993-01-01,154
"126","Lower Green",20.6523809524,1993,1993-01-01,190
"127","Salt",17.0375,1993,1993-01-01,152
"128","Upper Colorado - Dirty Devil",21.52,1993,1993-01-01,189
"129","Upper Colorado - Dolores",26.0375,1993,1993-01-01,190
"130","Upper Gila",14.1,1993,1993-01-01,154
"131","Upper Green",17.5944444444,1993,1993-01-01,219
"132","Upper San Juan",34.21,1993,1993-01-01,190
"133","White Yampa",30.48,1993,1993-01-01,207
"134","Colorado Headwaters",17.2454545455,1994,1994-01-01,196
"135","Full Basin",10.8029581529583,1994,1994-01-01,192
"136","Gunnison",16.8833333333,1994,1994-01-01,194
"137","Little Colorado",7.9,1994,1994-01-01,149
"138","Lower Colorado - Lake Mead",9.65,1994,1994-01-01,151
"139","Lower Green",11.3333333333,1994,1994-01-01,193
"140","Salt",7.5875,1994,1994-01-01,145
"141","Upper Colorado - Dirty Devil",9.36,1994,1994-01-01,193
"142","Upper Colorado - Dolores",12.1875,1994,1994-01-01,193
"143","Upper Gila",4.5666666667,1994,1994-01-01,142
"144","Upper Green",12.3388888889,1994,1994-01-01,193
"145","Upper San Juan",20.3,1994,1994-01-01,213
"146","White Yampa",20.5333333333,1994,1994-01-01,196
"147","Colorado Headwaters",24.8,1995,1995-01-01,224
"148","Full Basin",16.0049479918167,1995,1995-01-01,181
"149","Gunnison",28.1083333333,1995,1995-01-01,225
"150","Little Colorado",10.1666666667,1995,1995-01-01,139
"151","Lower Colorado - Lake Mead",18.9875,1995,1995-01-01,181
"152","Lower Green",18.6904761905,1995,1995-01-01,214
"153","Salt",8.9888888889,1995,1995-01-01,139
"154","Upper Colorado - Dirty Devil",17.1666666667,1995,1995-01-01,206
"155","Upper Colorado - Dolores",19.625,1995,1995-01-01,181
"156","Upper Gila",6.5428571429,1995,1995-01-01,139
"157","Upper Green",15.8111111111,1995,1995-01-01,215
"158","Upper San Juan",32.6666666667,1995,1995-01-01,219
"159","White Yampa",28.4133333333,1995,1995-01-01,224
"160","Colorado Headwaters",23.0043478261,1996,1996-01-01,204
"161","Full Basin",13.0422683747417,1996,1996-01-01,183
"162","Gunnison",20.25,1996,1996-01-01,204
"163","Little Colorado",2.25,1996,1996-01-01,126
"164","Lower Colorado - Lake Mead",7.275,1996,1996-01-01,158
"165","Lower Green",17.2904761905,1996,1996-01-01,185
"166","Salt",2.7444444444,1996,1996-01-01,126
"167","Upper Colorado - Dirty Devil",11.3166666667,1996,1996-01-01,182
"168","Upper Colorado - Dolores",13.525,1996,1996-01-01,181
"169","Upper Gila",3.0571428571,1996,1996-01-01,128
"170","Upper Green",20.9,1996,1996-01-01,188
"171","Upper San Juan",17.2916666667,1996,1996-01-01,188
"172","White Yampa",28.4,1996,1996-01-01,206
"173","Colorado Headwaters",23.8565217391,1997,1997-01-01,214
"174","Full Basin",18.135038172875,1997,1997-01-01,157
"175","Gunnison",25.925,1997,1997-01-01,195
"176","Little Colorado",10.7333333333,1997,1997-01-01,153
"177","Lower Colorado - Lake Mead",12.1625,1997,1997-01-01,157
"178","Lower Green",23.2666666667,1997,1997-01-01,195
"179","Salt",9.5444444444,1997,1997-01-01,153
"180","Upper Colorado - Dirty Devil",17.95,1997,1997-01-01,197
"181","Upper Colorado - Dolores",21.075,1997,1997-01-01,194
"182","Upper Gila",7.1142857143,1997,1997-01-01,153
"183","Upper Green",23.45,1997,1997-01-01,196
"184","Upper San Juan",30.6083333333,1997,1997-01-01,195
"185","White Yampa",30.25,1997,1997-01-01,197
"186","Colorado Headwaters",18.6739130435,1998,1998-01-01,202
"187","Full Basin",16.1946069128083,1998,1998-01-01,199
"188","Gunnison",21.1,1998,1998-01-01,201
"189","Little Colorado",14.3571428571,1998,1998-01-01,184
"190","Lower Colorado - Lake Mead",17.7625,1998,1998-01-01,199
"191","Lower Green",18.2095238095,1998,1998-01-01,200
"192","Salt",11.6,1998,1998-01-01,159
"193","Upper Colorado - Dirty Devil",14.5833333333,1998,1998-01-01,199
"194","Upper Colorado - Dolores",16.725,1998,1998-01-01,200
"195","Upper Gila",9.2714285714,1998,1998-01-01,151
"196","Upper Green",16.9055555556,1998,1998-01-01,201
"197","Upper San Juan",22.6166666667,1998,1998-01-01,200
"198","White Yampa",24.18125,1998,1998-01-01,202
"199","Colorado Headwaters",16.5,1999,1999-01-01,218
"200","Full Basin",10.9013969613333,1999,1999-01-01,217
