"","Water_Year","State","Consumptive_Use_MAF","Date"
"105",1981,"Lower Basin Reservoirs",1.135473,1981-01-01
"106",1981,"Mexico",3.865603,1981-01-01
"107",1981,"Nevada",0.109255,1981-01-01
"108",1981,"NewMexico",0.2809321367675,1981-01-01
"109",1981,"Utah",0.735898038584825,1981-01-01
"110",1981,"Wyoming",0.348121552414432,1981-01-01
"111",1982,"Arizona",1.16333370235022,1982-01-01
"112",1982,"California",4.322235,1982-01-01
"113",1982,"Colorado",2.10875081414265,1982-01-01
"114",1982,"Lake Powell",0.5995979207419,1982-01-01
"115",1982,"Lower Basin Reservoirs",1.118374,1982-01-01
"116",1982,"Mexico",1.670553,1982-01-01
"117",1982,"Nevada",0.105718,1982-01-01
"118",1982,"NewMexico",0.396125093769287,1982-01-01
"119",1982,"Utah",0.693378876386775,1982-01-01
"120",1982,"Wyoming",0.334319223098508,1982-01-01
"121",1983,"Arizona",0.972751362893472,1983-01-01
"122",1983,"California",3.937007,1983-01-01
"123",1983,"Colorado",1.89163140115223,1983-01-01
"124",1983,"Lake Powell",0.6708135686853,1983-01-01
"125",1983,"Lower Basin Reservoirs",1.135581,1983-01-01
"126",1983,"Mexico",9.615858,1983-01-01
"127",1983,"Nevada",0.09197,1983-01-01
"128",1983,"NewMexico",0.416156632171188,1983-01-01
"129",1983,"Utah",0.667519754419127,1983-01-01
"130",1983,"Wyoming",0.349791017753916,1983-01-01
"131",1984,"Arizona",1.09001794102151,1984-01-01
"132",1984,"California",4.643437,1984-01-01
"133",1984,"Colorado",1.93090135402418,1984-01-01
"134",1984,"Lake Powell",0.657054210529,1984-01-01
"135",1984,"Lower Basin Reservoirs",1.14971,1984-01-01
"136",1984,"Mexico",16.803519,1984-01-01
"137",1984,"Nevada",0.098915,1984-01-01
"138",1984,"NewMexico",0.388545998249233,1984-01-01
"139",1984,"Utah",0.722227187962865,1984-01-01
"140",1984,"Wyoming",0.320976555246347,1984-01-01
"141",1985,"Arizona",1.13038913365338,1985-01-01
"142",1985,"California",4.689221,1985-01-01
"143",1985,"Colorado",1.99891557289494,1985-01-01
"144",1985,"Lake Powell",0.6517157027452,1985-01-01
"145",1985,"Lower Basin Reservoirs",1.156536,1985-01-01
"146",1985,"Mexico",13.265054,1985-01-01
"147",1985,"Nevada",0.102377,1985-01-01
"148",1985,"NewMexico",0.377789292844195,1985-01-01
"149",1985,"Utah",0.824408242334789,1985-01-01
"150",1985,"Wyoming",0.346825387235977,1985-01-01
"151",1986,"Arizona",1.25203160968442,1986-01-01
"152",1986,"California",4.675934,1986-01-01
"153",1986,"Colorado",1.81050619783094,1986-01-01
"154",1986,"Lake Powell",0.6474375161178,1986-01-01
"155",1986,"Lower Basin Reservoirs",1.177998,1986-01-01
"156",1986,"Mexico",11.00872,1986-01-01
"157",1986,"Nevada",0.112099,1986-01-01
"158",1986,"NewMexico",0.440188780998124,1986-01-01
"159",1986,"Utah",0.816583384773748,1986-01-01
"160",1986,"Wyoming",0.471390543977209,1986-01-01
"161",1987,"Arizona",1.52281098228812,1987-01-01
"162",1987,"California",4.813482,1987-01-01
"163",1987,"Colorado",1.88765779054165,1987-01-01
"164",1987,"Lake Powell",0.6490620265356,1987-01-01
"165",1987,"Lower Basin Reservoirs",1.177284,1987-01-01
"166",1987,"Mexico",6.375973,1987-01-01
"167",1987,"Nevada",0.107088,1987-01-01
"168",1987,"NewMexico",0.381814690202004,1987-01-01
"169",1987,"Utah",0.840947777013486,1987-01-01
"170",1987,"Wyoming",0.463371227756849,1987-01-01
"171",1988,"Arizona",1.73802475785524,1988-01-01
"172",1988,"California",4.798592,1988-01-01
"173",1988,"Colorado",2.19646489649232,1988-01-01
"174",1988,"Lake Powell",0.638871787884,1988-01-01
"175",1988,"Lower Basin Reservoirs",1.12218,1988-01-01
"176",1988,"Mexico",2.903058,1988-01-01
"177",1988,"Nevada",0.120279,1988-01-01
"178",1988,"NewMexico",0.347336908739942,1988-01-01
"179",1988,"Utah",0.820359558804411,1988-01-01
"180",1988,"Wyoming",0.554495366491589,1988-01-01
"181",1989,"Arizona",2.04313023249888,1989-01-01
"182",1989,"California",5.01977,1989-01-01
"183",1989,"Colorado",2.43237144417362,1989-01-01
"184",1989,"Lake Powell",0.5948201288957,1989-01-01
"185",1989,"Lower Basin Reservoirs",1.164179,1989-01-01
"186",1989,"Mexico",1.809865,1989-01-01
"187",1989,"Nevada",0.148675,1989-01-01
"188",1989,"NewMexico",0.381290579048825,1989-01-01
"189",1989,"Utah",0.830831041628628,1989-01-01
"190",1989,"Wyoming",0.478334676343741,1989-01-01
"191",1990,"Arizona",2.10339914775372,1990-01-01
"192",1990,"California",5.101429,1990-01-01
"193",1990,"Colorado",2.19210325467105,1990-01-01
"194",1990,"Lake Powell",0.5053459088668,1990-01-01
"195",1990,"Lower Basin Reservoirs",1.087244,1990-01-01
"196",1990,"Mexico",1.659179,1990-01-01
"197",1990,"Nevada",0.159629,1990-01-01
"198",1990,"NewMexico",0.387317946757626,1990-01-01
"199",1990,"Utah",0.875911650204139,1990-01-01
"200",1990,"Wyoming",0.514204334929383,1990-01-01
"201",1991,"Arizona",1.76334595369381,1991-01-01
"202",1991,"California",4.989256,1991-01-01
"203",1991,"Colorado",1.79071214413602,1991-01-01
"204",1991,"Lake Powell",0.4502950946033,1991-01-01
"205",1991,"Lower Basin Reservoirs",1.049309,1991-01-01
"206",1991,"Mexico",1.672878,1991-01-01
"207",1991,"Nevada",0.164425,1991-01-01
"208",1991,"NewMexico",0.325017511608722,1991-01-01
"209",1991,"Utah",0.893340866721607,1991-01-01
"210",1991,"Wyoming",0.534267514071488,1991-01-01
"211",1992,"Arizona",1.71870298426188,1992-01-01
"212",1992,"California",4.496165,1992-01-01
"213",1992,"Colorado",1.71014180774202,1992-01-01
"214",1992,"Lake Powell",0.4307753021927,1992-01-01
"215",1992,"Lower Basin Reservoirs",0.992707,1992-01-01
"216",1992,"Mexico",1.655046,1992-01-01
"217",1992,"Nevada",0.165311,1992-01-01
"218",1992,"NewMexico",0.295325083548849,1992-01-01
"219",1992,"Utah",0.923096572010654,1992-01-01
"220",1992,"Wyoming",0.553280161400747,1992-01-01
"221",1993,"Arizona",1.96759630761728,1993-01-01
"222",1993,"California",4.693616,1993-01-01
"223",1993,"Colorado",1.8492933943232,1993-01-01
"224",1993,"Lake Powell",0.4853922648687,1993-01-01
"225",1993,"Lower Basin Reservoirs",1.011801,1993-01-01
"226",1993,"Mexico",4.965016,1993-01-01
"227",1993,"Nevada",0.172063,1993-01-01
"228",1993,"NewMexico",0.332630930781477,1993-01-01
"229",1993,"Utah",0.956776941019198,1993-01-01
"230",1993,"Wyoming",0.500579129568194,1993-01-01
"231",1994,"Arizona",2.12502616808495,1994-01-01
"232",1994,"California",5.135055,1994-01-01
"233",1994,"Colorado",1.94615515706383,1994-01-01
"234",1994,"Lake Powell",0.5343938298346,1994-01-01
"235",1994,"Lower Basin Reservoirs",1.114866,1994-01-01
"236",1994,"Mexico",1.948616,1994-01-01
"237",1994,"Nevada",0.204077,1994-01-01
"238",1994,"NewMexico",0.31666673348753,1994-01-01
"239",1994,"Utah",0.956491049251213,1994-01-01
"240",1994,"Wyoming",0.625487235324724,1994-01-01
"241",1995,"Arizona",2.02618188336822,1995-01-01
"242",1995,"California",4.899989,1995-01-01
"243",1995,"Colorado",1.61194526221105,1995-01-01
"244",1995,"Lake Powell",0.5700518324876,1995-01-01
"245",1995,"Lower Basin Reservoirs",1.044142,1995-01-01
"246",1995,"Mexico",1.825064,1995-01-01
"247",1995,"Nevada",0.192307,1995-01-01
"248",1995,"NewMexico",0.311997041929339,1995-01-01
"249",1995,"Utah",0.827896404450879,1995-01-01
"250",1995,"Wyoming",0.402154596665569,1995-01-01
"251",1996,"Arizona",2.7187507166359,1996-01-01
"252",1996,"California",5.116965,1996-01-01
"253",1996,"Colorado",1.97280530101516,1996-01-01
"254",1996,"Lake Powell",0.6169682616905,1996-01-01
"255",1996,"Lower Basin Reservoirs",1.164524,1996-01-01
"256",1996,"Mexico",1.72196,1996-01-01
"257",1996,"Nevada",0.238412,1996-01-01
"258",1996,"NewMexico",0.327209611795162,1996-01-01
"259",1996,"Utah",1.06910923482139,1996-01-01
"260",1996,"Wyoming",0.658047526468976,1996-01-01
"261",1997,"Arizona",2.48409948713073,1997-01-01
"262",1997,"California",5.22974,1997-01-01
"263",1997,"Colorado",1.58706796009266,1997-01-01
"264",1997,"Lake Powell",0.6187688304307,1997-01-01
"265",1997,"Lower Basin Reservoirs",1.136176,1997-01-01
"266",1997,"Mexico",2.735432,1997-01-01
"267",1997,"Nevada",0.232468,1997-01-01
"268",1997,"NewMexico",0.356568427843578,1997-01-01
"269",1997,"Utah",0.850101971369943,1997-01-01
"270",1997,"Wyoming",0.541368994018684,1997-01-01
"271",1998,"Arizona",2.57825432632619,1998-01-01
"272",1998,"California",4.895204,1998-01-01
"273",1998,"Colorado",1.847402406417,1998-01-01
"274",1998,"Lake Powell",0.6405680362698,1998-01-01
"275",1998,"Lower Basin Reservoirs",1.143306,1998-01-01
"276",1998,"Mexico",3.871075,1998-01-01
"277",1998,"Nevada",0.206314,1998-01-01
"278",1998,"NewMexico",0.371625080126686,1998-01-01
"279",1998,"Utah",0.912377757829709,1998-01-01
"280",1998,"Wyoming",0.502772149389954,1998-01-01
"281",1999,"Arizona",2.53917810747242,1999-01-01
"282",1999,"California",5.056933,1999-01-01
"283",1999,"Colorado",1.59340559621248,1999-01-01
"284",1999,"Lake Powell",0.6382588362995,1999-01-01
"285",1999,"Lower Basin Reservoirs",1.19214,1999-01-01
"286",1999,"Mexico",3.47111,1999-01-01
"287",1999,"Nevada",0.244485,1999-01-01
"288",1999,"NewMexico",0.337061834942801,1999-01-01
"289",1999,"Utah",0.936654414626579,1999-01-01
"290",1999,"Wyoming",0.597367181989953,1999-01-01
"291",2000,"Arizona",2.64939275706084,2000-01-01
"292",2000,"California",5.350575,2000-01-01
"293",2000,"Colorado",2.30783912635487,2000-01-01
"294",2000,"Lake Powell",0.6153872974339,2000-01-01
"295",2000,"Lower Basin Reservoirs",1.212894,2000-01-01
"296",2000,"Mexico",2.512892,2000-01-01
"297",2000,"Nevada",0.297871,2000-01-01
"298",2000,"NewMexico",0.328060960775472,2000-01-01
"299",2000,"Utah",1.12625488391278,2000-01-01
"300",2000,"Wyoming",0.657550702156587,2000-01-01
"301",2001,"Arizona",2.78207607817422,2001-01-01
"302",2001,"California",5.122877,2001-01-01
"303",2001,"Colorado",2.12809180404046,2001-01-01
"304",2001,"Lake Powell",0.5693845414474,2001-01-01
"305",2001,"Lower Basin Reservoirs",1.098445,2001-01-01
"306",2001,"Mexico",1.995159,2001-01-01
"307",2001,"Nevada",0.286486,2001-01-01
"308",2001,"NewMexico",0.34783165522251,2001-01-01
"309",2001,"Utah",1.05983413953921,2001-01-01
"310",2001,"Wyoming",0.632374784893935,2001-01-01
"311",2002,"Arizona",2.89620313699853,2002-01-01
"312",2002,"California",5.346281,2002-01-01
"313",2002,"Colorado",1.94105629369212,2002-01-01
"314",2002,"Lake Powell",0.4834067195809,2002-01-01
"315",2002,"Lower Basin Reservoirs",1.076646,2002-01-01
"316",2002,"Mexico",1.738629,2002-01-01
"317",2002,"Nevada",0.323777,2002-01-01
"318",2002,"NewMexico",0.294156926597841,2002-01-01
"319",2002,"Utah",0.915177184157929,2002-01-01
"320",2002,"Wyoming",0.549867342320561,2002-01-01
"321",2003,"Arizona",2.67151810733491,2003-01-01
"322",2003,"California",4.492764,2003-01-01
"323",2003,"Colorado",1.8409332998031,2003-01-01
"324",2003,"Lake Powell",0.3912130650641,2003-01-01
"325",2003,"Lower Basin Reservoirs",0.944343,2003-01-01
"326",2003,"Mexico",1.701521,2003-01-01
"327",2003,"Nevada",0.280345,2003-01-01
"328",2003,"NewMexico",0.339543832352508,2003-01-01
"329",2003,"Utah",0.924306170202591,2003-01-01
"330",2003,"Wyoming",0.545710949662333,2003-01-01
"331",2004,"Arizona",2.99299029852937,2004-01-01
"332",2004,"California",4.444761,2004-01-01
"333",2004,"Colorado",1.94823903194375,2004-01-01
"334",2004,"Lake Powell",0.3238243718832,2004-01-01
"335",2004,"Lower Basin Reservoirs",0.902185,2004-01-01
"336",2004,"Mexico",1.643276,2004-01-01
"337",2004,"Nevada",0.275124,2004-01-01
"338",2004,"NewMexico",0.36830642218235,2004-01-01
"339",2004,"Utah",0.952019511360387,2004-01-01
"340",2004,"Wyoming",0.514799668775917,2004-01-01
"341",2005,"Arizona",2.40117888063134,2005-01-01
"342",2005,"California",4.203353,2005-01-01
"343",2005,"Colorado",1.81618260035285,2005-01-01
"344",2005,"Lake Powell",0.3239789192073,2005-01-01
"345",2005,"Lower Basin Reservoirs",0.808781,2005-01-01
"346",2005,"Mexico",1.756361,2005-01-01
"347",2005,"Nevada",0.264763,2005-01-01
